"Date of Incident","Description","Status","Location","Type Insurance","Actions"
"2/14/2024","Car accident on highway","PENDING","xcxcxvxcx","vcxvxvc","Display             Update             Delete"
"2/17/2025","ala","ACCEPTED","ala","car","Display             Update             Delete"
"2/17/2025","xxxxxsqdsq","PENDING","dsqdsqdsq","hospitalization","Display             Update             Delete"
"2/17/2025","fghjk","PENDING","ghjn","residence","Display             Update             Delete"
"2/19/2025","car","DECLINED","car","car","Display             Update             Delete"
"2/19/2025","test update creation 4","ACCEPTED","test update creation 4","academic","Display             Update             Delete"
"2/19/2025","testt","PENDING","tttttsssxxxx","car","Display             Update             Delete"
"2/19/2025","mlkkkdkd","PENDING","ghjk","residence","Display             Update             Delete"
"2/20/2025","jointure","PENDING","jointure","hospitalization","Display             Update             Delete"
"2/20/2025","jointure","PENDING","jointure","hospitalization","Display             Update             Delete"
"2/20/2025","hhhhhhhhhhhh","PENDING","hhhhhhhhhhhhh","health","Display             Update             Delete"
"2/20/2025","hhhhhhhhhhhh","PENDING","hhhhhhhhhhhhh","health","Display             Update             Delete"
"2/20/2025","test final jointure 2","ACCEPTED","test final jointure 2","car","Display             Update             Delete"

