"Date of Incident","Description","Type Insurance","Location","Status","Actions"
"2/17/2025","ala","car","ala","ACCEPTED","Display             Update             Delete"
"2/17/2025","fghjk","residence","ghjn","PENDING","Display             Update             Delete"
"2/19/2025","car","car","car","DECLINED","Display             Update             Delete"
"2/19/2025","test update creation 5","academic","test update creation 5","ACCEPTED","Display             Update             Delete"
"2/19/2025","testt","car","tttttsssxxxx","PENDING","Display             Update             Delete"
"2/19/2025","mlkkkdkd","residence","ghjk","PENDING","Display             Update             Delete"
"2/20/2025","jointure","hospitalization","jointure","PENDING","Display             Update             Delete"
"2/20/2025","jointure","hospitalization","jointure","PENDING","Display             Update             Delete"
"2/20/2025","test final jointure 2","car","test final jointure 2","ACCEPTED","Display             Update             Delete"

